Client: 0, nsmp=100, del=25000
Client: 1, nsmp=100, del=25000
Client: 2, nsmp=100, del=25000
Sample 0, client 1, delivery time: 214
Sample 1, client 1, delivery time: 174
Sample 2, client 1, delivery time: 74
Sample 3, client 1, delivery time: 128
Sample 4, client 1, delivery time: 70
Sample 5, client 1, delivery time: 121
Sample 6, client 1, delivery time: 134
Sample 7, client 1, delivery time: 70
Sample 8, client 1, delivery time: 121
Sample 9, client 1, delivery time: 136
Sample 10, client 1, delivery time: 135
Sample 11, client 1, delivery time: 135
Sample 12, client 1, delivery time: 69
Sample 13, client 1, delivery time: 82
Sample 14, client 1, delivery time: 82
Sample 15, client 1, delivery time: 83
Sample 16, client 1, delivery time: 122
Sample 17, client 1, delivery time: 69
Sample 18, client 1, delivery time: 119
Sample 19, client 1, delivery time: 137
Sample 20, client 1, delivery time: 140
Sample 21, client 1, delivery time: 139
Sample 22, client 1, delivery time: 70
Sample 23, client 1, delivery time: 80
Sample 24, client 1, delivery time: 119
Sample 25, client 1, delivery time: 139
Sample Sample 0, client 2, delivery time: 131
Sample 1, client 2, delivery time: 95
Sample 2, client 2, delivery time: 129
Sample 3, client 2, delivery time: 73
Sample 4, client 2, delivery time: 123
Sample 5, client 2, delivery time: 68
Sample 6, client 2, delivery time: 82
Sample 7, client 2, delivery time: 123
Sample 8, client 2, delivery time: 70
Sample 9, client 2, delivery time: 84
Sample 10, client 2, delivery time: 83
Sample 11, client 2, delivery time: 83
Sample 12, client 2, delivery time: 121
Sample 13, client 2, delivery time: 154
Sample 14, client 2, delivery time: 135
Sample 15, client 2, delivery time: 136
Sample 16, client 2, delivery time: 70
Sample 17, client 2, delivery time: 121
Sample 18, client 2, delivery time: 69
Sample 19, client 2, delivery time: 79
Sample 20, client 2, delivery time: 82
Sample 21, client 2, delivery time: 82
Sample 22, client 2, delivery time: 120
Sample 23, client 2, delivery time: 136
Sample 24, client 2, delivery time: 20
Sample 25, client 2, delivery time: 19
Sample 26, client Sample 0, client 0, delivery time: 32
Sample 1, client 0, delivery time: 21
Sample 2, client 0, delivery time: 21
Sample 3, client 0, delivery time: 21
Sample 4, client 0, delivery time: 21
Sample 5, client 0, delivery time: 20
Sample 6, client 0, delivery time: 19
Sample 7, client 0, delivery time: 20
Sample 8, client 0, delivery time: 21
Sample 9, client 0, delivery time: 19
Sample 10, client 0, delivery time: 18
Sample 11, client 0, delivery time: 19
Sample 12, client 0, delivery time: 21
Sample 13, client 0, delivery time: 18
Sample 14, client 0, delivery time: 19
Sample 15, client 0, delivery time: 19
Sample 16, client 0, delivery time: 21
Sample 17, client 0, delivery time: 20
Sample 18, client 0, delivery time: 20
Sample 19, client 0, delivery time: 18
Sample 20, client 0, delivery time: 18
Sample 21, client 0, delivery time: 19
Sample 22, client 0, delivery time: 20
Sample 23, client 0, delivery time: 18
Sample 24, client 0, delivery time: 68
Sample 25, client 0, delivery time: 81
Sample 26, client 0, delivery time: 163
Sample 27, client 0, delivery time: 140
Sample 28, client 0, delivery time: 69
Sample 29, client 0, delivery time: 82
Sample 30, client 0, delivery time: 120
Sample 31, client 0, delivery time: 70
Sample 32, client 0, delivery time: 81
Sample 33, client 0, delivery time: 82
Sample 34, client 0, delivery time: 85
Sample 35, client 0, delivery time: 85
Sample 36, client 0, delivery time: 119
Sample 37, client 0, delivery time: 134
Sample 38, client 0, delivery time: 143
Sample 39, client 0, delivery time: 68
Sample 40, client 0, delivery time: 81
Sample 41, client 0, delivery time: 120
Sample 42, client 0, delivery time: 137
Sample 43, client 0, delivery time: 140
Sample 44, client 0, delivery time: 19
Sample 45, client 0, delivery time: 19
Sample 46, client 0, delivery time: 20
Sample 47, client 0, delivery time: 20
Sample 48, client 0, delivery time: 19
Sample 49, client 0, delivery time: 46
Sample 50, client 0, delivery time: 21
Sample 51, client 0, delivery time: 19
Sample 52, client 0, delivery time: 192, delivery time: 87
Sample 27, client 2, delivery time: 83
Sample 28, client 2, delivery time: 120
Sample 29, client 2, delivery time: 137
Sample 30, client 2, delivery time: 69
Sample 31, client 2, delivery time: 121
Sample 32, client 2, delivery time: 137
Sample 33, client 2, delivery time: 137
Sample 34, client 2, delivery time: 139
Sample 35, client 2, delivery time: 140
Sample 36, client 2, delivery time: 69
Sample 37, client 2, delivery time: 79
Sample 38, client 2, delivery time: 90
Sample 39, client 2, delivery time: 120
Sample 40, client 2, delivery time: 129
