Client: 2, nsmp=100, del=20000
Client: 0, nsmp=100, del=20000
Client: 1, nsmp=100, del=20000
Sample 0, client 1, delivery time: 6851
Sample 1, client 1, delivery time: 138
Sample 2, client 1, delivery time: 126
Sample 3, client 1, delivery time: 117
Sample 4, client 1, delivery time: 119
Sample 5, client 1, delivery time: 132
Sample 6, client 1, delivery time: 109
Sample 7, client 1, delivery time: 116
Sample 8, client 1, delivery time: 18
Sample 9, client 1, delivery time: 71
Sample 10, client 1, delivery time: 21
Sample 11, client 1, delivery time: 71
Sample 12, client 1, delivery time: 20
Sample 13, client 1, delivery time: 74
Sample 14, client 1, delivery time: 20
Sample 15, client 1, delivery time: 76
Sample 16, client 1, delivery time: 19
Sample 17, client 1, delivery time: 74
Sample 18, client 1, delivery time: 19
Sample 19, client 1, delivery time: 71
Sample 20, client 1, delivery time: 19
Sample 21, client 1, delivery time: 74
Sample 22, client 1, delivery time: 18
Sample 23, client 1, delivery time: 69
Sample 24, client 1, delivery time: 19
Sample 25, client 1, delivery time: 74
Sample 26, client Sample 0, client 0, delivery time: 31
Sample 1, client 0, delivery time: 88
Sample 2, client 0, delivery time: 22
Sample 3, client 0, delivery time: 74
Sample 4, client 0, delivery time: 20
Sample 5, client 0, delivery time: 90
Sample 6, client 0, delivery time: 19
Sample 7, client 0, delivery time: 75
Sample 8, client 0, delivery time: 76
Sample 9, client 0, delivery time: 19
Sample 10, client 0, delivery time: 72
Sample 11, client 0, delivery time: 19
Sample 12, client 0, delivery time: 74
Sample 13, client 0, delivery time: 18
Sample 14, client 0, delivery time: 77
Sample 15, client 0, delivery time: 19
Sample 16, client 0, delivery time: 78
Sample 17, client 0, delivery time: 20
Sample 18, client 0, delivery time: 74
Sample 19, client 0, delivery time: 19
Sample 20, client 0, delivery time: 77
Sample 21, client 0, delivery time: 19
Sample 22, client 0, delivery time: 74
Sample 23, client 0, delivery time: 19
Sample 24, client 0, delivery time: 69
Sample 25, client 0, delivery time: 18
Sample 26, client 0, delivery time: Sample 0, client 2, delivery time: 129
Sample 1, client 2, delivery time: 24
Sample 2, client 2, delivery time: 80
Sample 3, client 2, delivery time: 20
Sample 4, client 2, delivery time: 77
Sample 5, client 2, delivery time: 20
Sample 6, client 2, delivery time: 69
Sample 7, client 2, delivery time: 19
Sample 8, client 2, delivery time: 119
Sample 9, client 2, delivery time: 112
Sample 10, client 2, delivery time: 115
Sample 11, client 2, delivery time: 112
Sample 12, client 2, delivery time: 116
Sample 13, client 2, delivery time: 115
Sample 14, client 2, delivery time: 117
Sample 15, client 2, delivery time: 117
Sample 16, client 2, delivery time: 120
Sample 17, client 2, delivery time: 115
Sample 18, client 2, delivery time: 115
Sample 19, client 2, delivery time: 111
Sample 20, client 2, delivery time: 118
Sample 21, client 2, delivery time: 115
Sample 22, client 2, delivery time: 114
Sample 23, client 2, delivery time: 110
Sample 24, client 2, delivery time: 110
Sample 25, client 2, delivery time: 116
Sample 26, client 2, delivery time: 170
Sample 27, client 2, delivery time: 115
Sample 28, client 2, delivery time: 112
Sample 29, client 2, delivery time: 119
Sample 30, client 2, delivery time: 110
Sample 31, client 2, delivery time: 115
Sample 32, client 2, delivery time: 117
Sample 33, client 2, delivery time: 108
Sample 34, client 2, delivery time: 114
Sample 35, client 2, delivery time: 109
Sample 36, client 2, delivery time: 115
Sample 37, client 2, delivery time: 110
Sample 38, client 2, delivery time: 121
Sample 39, client 2, delivery time: 113
Sample 40, client 2, delivery time: 113
Sample 41, client 2, delivery time: 118
Sample 42, client 2, delivery time: 112
Sample 43, client 2, delivery time: 109
Sample 44, client 2, delivery time: 113
Sample 45, client 2, delivery time: 115
Sample 46, client 2, delivery time: 116
Sample 47, client 2, delivery time: 109
Sample 48, client 2, delivery time: 115
Sample 49, client 2, delivery time: 163
Sample 50, client 2, delivery time: 67
Sample 51, client 2, delivery time: 1, delivery time: 19
Sample 27, client 1, delivery time: 73
Sample 28, client 1, delivery time: 19
Sample 29, client 1, delivery time: 78
Sample 30, client 1, delivery time: 19
Sample 31, client 1, delivery time: 75
Sample 32, client 1, delivery time: 20
Sample 33, client 1, delivery time: 67
Sample 34, client 1, delivery time: 20
Sample 35, client 1, delivery time: 69
Sample 36, client 1, delivery time: 19
Sample 37, client 1, delivery time: 70
Sample 38, client 1, delivery time: 19
Sample 39, client 1, delivery time: 73
Sample 40, client 1, delivery time: 19
Sample 41, client 1, delivery time: 76
Sample 42, client 1, delivery time: 20
Sample 43, client 1, delivery time: 69
Sample 44, client 1, delivery time: 19
Sample 45, client 1, delivery time: 75
Sample 46, client 1, delivery time: 19
Sample 47, client 1, delivery time: 69
Sample 48, client 1, delivery time: 19
Sample 49, client 1, delivery time: 113
Sample 50, client 1, delivery time: 108
Sample 51, client 1, delivery time: 73
Sample 52, client 1, delivery time: 105
Sample 27, client 0, delivery time: 19
Sample 28, client 0, delivery time: 71
Sample 29, client 0, delivery time: 20
Sample 30, client 0, delivery time: 67
Sample 31, client 0, delivery time: 20
Sample 32, client 0, delivery time: 76
Sample 33, client 0, delivery time: 18
Sample 34, client 0, delivery time: 74
Sample 35, client 0, delivery time: 19
Sample 36, client 0, delivery time: 74
Sample 37, client 0, delivery time: 18
Sample 38, client 0, delivery time: 80
Sample 39, client 0, delivery time: 19
Sample 40, client 0, delivery time: 73
Sample 41, client 0, delivery time: 19
Sample 42, client 0, delivery time: 72
Sample 43, client 0, delivery time: 18
Sample 44, client 0, delivery time: 73
Sample 45, client 0, delivery time: 20
Sample 46, client 0, delivery time: 76
Sample 47, client 0, delivery time: 19
Sample 48, client 0, delivery time: 75
Sample 49, client 0, delivery time: 56
Sample 50, client 0, delivery time: 19
Sample 51, client 0, delivery time: 19
Sample 52, client 0, delivery time: 92
Sample 114
Sample 52, client 2, delivery time: 133
Sample 53, client 2, delivery time: 126
Sample 54, client 2, delivery time: 117
Sample 55, client 2, delivery time: 112
Sample 56, client 2, delivery time: 117
Sample 57, client 2, delivery time: 131
Sample 58, client 2, delivery time: 116
Sample 59, client 2, delivery time: 114
Sample 60, client 2, delivery time: 117
Sample 61, client 2, delivery time: 114
Sample 62, client 2, delivery time: 118
Sample 63, client 2, delivery time: 123
Sample 64, client 2, delivery time: 119
Sample 65, client 2, delivery time: 117
Sample 66, client 2, delivery time: 110
Sample 67, client 2, delivery time: 115
Sample 68, client 2, delivery time: 109
Sample 69, client 2, delivery time: 112
Sample 70, client 2, delivery time: 120
Sample 71, client 2, delivery time: 108
Sample 72, client 2, delivery time: 114
Sample 73, client 2, delivery time: 112
Sample 74, client 2, delivery time: 111
Sample 75, client 2, delivery time: 113
Sample 76, client 2, delivery time: 113
Sample 77, client 2, delivery time: 53, client 0, delivery time: 19
Sample 54, client 0, delivery time: 76
Sample 55, client 0, delivery time: 20
Sample 56, client 0, delivery time: 76
Sample 57, client 0, delivery time: 20
Sample 58, client 0, delivery time: 74
Sample 59, client 0, delivery time: 20
Sample 60, client 0, delivery time: 77
Sample 61, client 0, delivery time: 18
Sample 62, client 0, delivery time: 78
Sample 63, client 0, delivery time: 22
Sample 64, client 0, delivery time: 78
Sample 65, client 0, delivery time: 21
Sample 66, client 0, delivery time: 69
Sample 67, client 0, delivery time: 20
Sample 68, client 0, delivery time: 69
Sample 69, client 0, delivery time: 19
Sample 70, client 0, delivery time: 80
Sample 71, client 0, delivery time: 19
Sample 72, client 0, delivery time: 74
Sample 73, client 0, delivery time: 19
Sample 74, client 0, delivery time: 71
Sample 75, client 0, delivery time: 19
Sample 76, client 0, delivery time: 72
Sample 77, client 0, delivery time: 19
Sample 78, client 0, delivery time: 72
Sample 79, client 20
Sample 53, client 1, delivery time: 86
Sample 54, client 1, delivery time: 19
Sample 55, client 1, delivery time: 71
Sample 56, client 1, delivery time: 19
Sample 57, client 1, delivery time: 89
Sample 58, client 1, delivery time: 19
Sample 59, client 1, delivery time: 74
Sample 60, client 1, delivery time: 20
Sample 61, client 1, delivery time: 72
Sample 62, client 1, delivery time: 19
Sample 63, client 1, delivery time: 82
Sample 64, client 1, delivery time: 20
Sample 65, client 1, delivery time: 77
Sample 66, client 1, delivery time: 19
Sample 67, client 1, delivery time: 74
Sample 68, client 1, delivery time: 18
Sample 69, client 1, delivery time: 72
Sample 70, client 1, delivery time: 19
Sample 71, client 1, delivery time: 68
Sample 72, client 1, delivery time: 20
Sample 73, client 1, delivery time: 71
Sample 74, client 1, delivery time: 18
Sample 75, client 1, delivery time: 73
Sample 76, client 1, delivery time: 19
Sample 77, client 1, delivery time: 74
Sample 78, client 1, delivery time: 19
Sample 79, client 1, delivery time: 133
Sample 80, client 1, delivery time: 122
Sample 81, client 1, delivery time: 111
Sample 82, client 1, delivery time: 71
Sample 83, client 1, delivery time: 18
Sample 84, client 1, delivery time: 73
Sample 85, client 1, delivery time: 18
Sample 86, client 1, delivery time: 71
Sample 87, client 1, delivery time: 19
Sample 88, client 1, delivery time: 75
Sample 89, client 1, delivery time: 19
Sample 90, client 1, delivery time: 68
Sample 91, client 1, delivery time: 19
Sample 92, client 1, delivery time: 72
Sample 93, client 1, delivery time: 19
Sample 94, client 1, delivery time: 79
Sample 95, client 1, delivery time: 20
Sample 96, client 1, delivery time: 75
Sample 97, client 1, delivery time: 19
Sample 98, client 1, delivery time: 76
Sample 99, client 1, delivery time: 20
0, delivery time: 20
Sample 80, client 0, delivery time: 81
Sample 81, client 0, delivery time: 19
Sample 82, client 0, delivery time: 19
Sample 83, client 0, delivery time: 75
Sample 84, client 0, delivery time: 20
Sample 85, client 0, delivery time: 71
Sample 86, client 0, delivery time: 19
Sample 87, client 0, delivery time: 76
Sample 88, client 0, delivery time: 19
Sample 89, client 0, delivery time: 74
Sample 90, client 0, delivery time: 18
Sample 91, client 0, delivery time: 71
Sample 92, client 0, delivery time: 19
Sample 93, client 0, delivery time: 77
Sample 94, client 0, delivery time: 19
Sample 95, client 0, delivery time: 92
Sample 96, client 0, delivery time: 19
Sample 97, client 0, delivery time: 72
Sample 98, client 0, delivery time: 20
Sample 99, client 0, delivery time: 80
114
Sample 78, client 2, delivery time: 113
Sample 79, client 2, delivery time: 154
Sample 80, client 2, delivery time: 20
Sample 81, client 2, delivery time: 70
Sample 82, client 2, delivery time: 111
Sample 83, client 2, delivery time: 117
Sample 84, client 2, delivery time: 113
Sample 85, client 2, delivery time: 111
Sample 86, client 2, delivery time: 111
Sample 87, client 2, delivery time: 116
Sample 88, client 2, delivery time: 115
Sample 89, client 2, delivery time: 115
Sample 90, client 2, delivery time: 107
Sample 91, client 2, delivery time: 111
Sample 92, client 2, delivery time: 112
Sample 93, client 2, delivery time: 116
Sample 94, client 2, delivery time: 122
Sample 95, client 2, delivery time: 150
Sample 96, client 2, delivery time: 115
Sample 97, client 2, delivery time: 112
Sample 98, client 2, delivery time: 116
Sample 99, client 2, delivery time: 120
waiting for children
