Client: 2, nsmp=100, del=125000
Sample 0, client 2, delivery time: 56
Sample 1, client 2, delivery time: 8
Sample 2, client 2, delivery time: 1
Sample 3, client 2, delivery time: 159
Sample 4, client 2, delivery time: 1
Sample 5, client 2, delivery time: 2
Sample 6, client 2, delivery time: 2
Sample 7, client 2, delivery time: 4
Sample 8, client 2, delivery time: 1
Sample 9, client 2, delivery time: 7
Sample 10, client 2, delivery time: 6
Sample 11, client 2, delivery time: 8
Sample 12, client 2, delivery time: 3
Sample 13, client 2, delivery time: 1
Sample 14, client 2, delivery time: 3
Sample 15, client 2, delivery time: 123
Sample 16, client 2, delivery time: 5
Sample 17, client 2, delivery time: 2
Sample 18, client 2, delivery time: 1
Sample 19, client 2, delivery time: 6
Sample 20, client 2, delivery time: 3
Sample 21, client 2, delivery time: 1
Sample 22, client 2, delivery time: 34
Sample 23, client 2, delivery time: 71
Sample 24, client 2, delivery time: 13
Sample 25, client 2, delivery time: 1
Sample 26, client 2, delivery time: 39
Sample 27, client 2, delivery time: 5
Sample 28, client 2, delivery time: 27
Sample 29, client 2, delivery time: 3
Sample 30, client 2, delivery time: 0
Sample 31, client 2, delivery time: 28
Sample 32, client 2, delivery time: 1
Sample 33, client 2, delivery time: 1
Sample 34, client 2, delivery time: 176
Sample 35, client 2, delivery time: 65
Sample 36, client 2, delivery time: 5
Sample 37, client 2, delivery time: 2
Sample 38, client 2, delivery time: 1
Sample 39, client 2, delivery time: 6
Sample 40, client 2, delivery time: 2
Sample 41, client 2, delivery time: 1
Sample 42, client 2, delivery time: 48
Sample 43, client 2, delivery time: 7
Sample 44, client 2, delivery time: 1
Sample 45, client 2, delivery time: 1
Sample 46, client 2, delivery time: 0
Sample 47, client 2, delivery time: 8
Sample 48, client 2, delivery time: 1
Sample 49, client 2, delivery time: 113
Sample 50, client 2, delivery time: 3
Sample 51, client 2, delivery time: 119
Sample 52, client 2, delivery time: 5
Sample 53, client 2, delivery time: 1
Sample 54, client 2, delivery time: 6
Sample 55, client 2, delivery time: 4
Sample 56, client 2, delivery time: 162
Sample 57, client 2, delivery time: 61
Sample 58, client 2, delivery time: 16
Sample 59, client 2, delivery time: 96
