Client: 0, nsmp=100, del=40000
Client: 2, nsmp=100, del=40000
Client: 1, nsmp=100, del=40000
Sample 0, client 2, delivery time: 67
Sample 1, client 2, delivery time: 21
Sample 2, client 2, delivery time: 18
Sample 3, client 2, delivery time: 17
Sample 4, client 2, delivery time: 17
Sample 5, client 2, delivery time: 17
Sample 6, client 2, delivery time: 19
Sample 7, client 2, delivery time: 18
Sample 8, client 2, delivery time: 18
Sample 9, client 2, delivery time: 19
Sample 10, client 2, delivery time: 18
Sample 11, client 2, delivery time: 25
Sample 12, client 2, delivery time: 18
Sample 13, client 2, delivery time: 17
Sample 14, client 2, delivery time: 24
Sample 15, client 2, delivery time: 29
Sample 16, client 2, delivery time: 17
Sample 17, client 2, delivery time: 17
Sample 18, client 2, delivery time: 24
Sample 19, client 2, delivery time: 25
Sample 20, client 2, delivery time: 27
Sample 21, client 2, delivery time: 22
Sample 22, client 2, delivery time: 19
Sample 23, client 2, delivery time: 16
Sample 24, client 2, delivery time: 17
Sample 25, client 2, delivery time: 17
Sample 26, client 2, delivery time: Sample 0, client 0, delivery time: 29
Sample 1, client 0, delivery time: 23
Sample 2, client 0, delivery time: 20
Sample 3, client 0, delivery time: 20
Sample 4, client 0, delivery time: 25
Sample 5, client 0, delivery time: 20
Sample 6, client 0, delivery time: 21
Sample 7, client 0, delivery time: 20
Sample 8, client 0, delivery time: 20
Sample 9, client 0, delivery time: 21
Sample 10, client 0, delivery time: 19
Sample 11, client 0, delivery time: 16
Sample 12, client 0, delivery time: 24
Sample 13, client 0, delivery time: 27
Sample 14, client 0, delivery time: 20
Sample 15, client 0, delivery time: 25
Sample 16, client 0, delivery time: 19
Sample 17, client 0, delivery time: 29
Sample 18, client 0, delivery time: 25
Sample 19, client 0, delivery time: 19
Sample 20, client 0, delivery time: 18
Sample 21, client 0, delivery time: 17
Sample 22, client 0, delivery time: 26
Sample 23, client 0, delivery time: 19
Sample 24, client 0, delivery time: 19
Sample 25, client 0, delivery time: 24
Sample 26, client 0, delivery time: Sample 0, client 1, delivery time: 56
Sample 1, client 1, delivery time: 19
Sample 2, client 1, delivery time: 16
Sample 3, client 1, delivery time: 19
Sample 4, client 1, delivery time: 19
Sample 5, client 1, delivery time: 22
Sample 6, client 1, delivery time: 18
Sample 7, client 1, delivery time: 17
Sample 8, client 1, delivery time: 16
Sample 9, client 1, delivery time: 18
Sample 10, client 1, delivery time: 16
Sample 11, client 1, delivery time: 18
Sample 12, client 1, delivery time: 29
Sample 13, client 1, delivery time: 23
Sample 14, client 1, delivery time: 17
Sample 15, client 1, delivery time: 17
Sample 16, client 1, delivery time: 16
Sample 17, client 1, delivery time: 24
Sample 18, client 1, delivery time: 19
Sample 19, client 1, delivery time: 17
Sample 20, client 1, delivery time: 20
Sample 21, client 1, delivery time: 25
Sample 22, client 1, delivery time: 28
Sample 23, client 1, delivery time: 24
Sample 24, client 1, delivery time: 24
Sample 25, client 1, delivery time: 19
Sample 26, client 1, delivery time: 24
Sample 27, client 1, delivery time: 23
Sample 28, client 1, delivery time: 18
Sample 29, client 1, delivery time: 18
Sample 30, client 1, delivery time: 16
Sample 31, client 1, delivery time: 17
