Client: 1, nsmp=100, del=125000
Sample 0, client 1, delivery time: 146
Sample 1, client 1, delivery time: 132
Sample 2, client 1, delivery time: 134
Sample 3, client 1, delivery time: 153
Sample 4, client 1, delivery time: 152
Sample 5, client 1, delivery time: 149
Sample 6, client 1, delivery time: 122
Sample 7, client 1, delivery time: 188
Sample 8, client 1, delivery time: 186
Sample 9, client 1, delivery time: 145
Sample 10, client 1, delivery time: 136
Sample 11, client 1, delivery time: 134
Sample 12, client 1, delivery time: 132
Sample 13, client 1, delivery time: 155
Sample 14, client 1, delivery time: 172
Sample 15, client 1, delivery time: 169
Sample 16, client 1, delivery time: 164
Sample 17, client 1, delivery time: 144
Sample 18, client 1, delivery time: 106
Sample 19, client 1, delivery time: 185
Sample 20, client 1, delivery time: 134
Sample 21, client 1, delivery time: 142
Sample 22, client 1, delivery time: 145
Sample 23, client 1, delivery time: 81
Sample 24, client 1, delivery time: 120
Sample 25, client 1, delivery time: 143
Sample 26, client 1, delivery time: 223
Sample 27, client 1, delivery time: 154
Sample 28, client 1, delivery time: 157
Sample 29, client 1, delivery time: 121
Sample 30, client 1, delivery time: 78
Sample 31, client 1, delivery time: 82
Sample 32, client 1, delivery time: 94
Sample 33, client 1, delivery time: 146
Sample 34, client 1, delivery time: 123
Sample 35, client 1, delivery time: 169
Sample 36, client 1, delivery time: 145
Sample 37, client 1, delivery time: 79
Sample 38, client 1, delivery time: 197
Sample 39, client 1, delivery time: 180
Sample 40, client 1, delivery time: 89
Sample 41, client 1, delivery time: 170
Sample 42, client 1, delivery time: 109
Sample 43, client 1, delivery time: 221
Sample 44, client 1, delivery time: 163
Sample 45, client 1, delivery time: 137
Sample 46, client 1, delivery time: 141
Sample 47, client 1, delivery time: 113
Sample 48, client 1, delivery time: 125
Sample 49, client 1, delivery time: 190
Sample 50, client 1, delivery time: 196
Sample 51, client 1, delivery time: 169
Sample 52, client 1, delivery time: 106
Sample 53, client 1, delivery time: 146
Sample 54, client 1, delivery time: 162
Sample 55, client 1, delivery time: 187
Sample 56, client 1, delivery time: 424
Sample 57, client 1, delivery time: 149
Sample 58, client 1, delivery time: 146
Sample 59, client 1, delivery time: 105
Sample 60, client 1, delivery time: 156
Sample 61, client 1, delivery time: 112
Sample 62, client 1, delivery time: 96
Sample 63, client 1, delivery time: 153
Sample 64, client 1, delivery time: 144
Sample 65, client 1, delivery time: 200
Sample 66, client 1, delivery time: 172
Sample 67, client 1, delivery time: 132
Sample 68, client 1, delivery time: 144
Sample 69, client 1, delivery time: 139
Sample 70, client 1, delivery time: 129
Sample 71, client 1, delivery time: 114
Sample 72, client 1, delivery time: 156
Sample 73, client 1, delivery time: 183
Sample 74, client 1, delivery time: 223
Sample 75, client 1, delivery time: 169
Sample 76, client 1, delivery time: 139
Sample 77, client 1, delivery time: 123
Sample 78, client 1, delivery time: 67
Sample 79, client 1, delivery time: 132
Sample 80, client 1, delivery time: 106
Sample 81, client 1, delivery time: 24
Sample 82, client 1, delivery time: 104
Sample 83, client 1, delivery time: 118
Sample 84, client 1, delivery time: 175
Sample 85, client 1, delivery time: 126
Sample 86, client 1, delivery time: 140
Sample 87, client 1, delivery time: 104
Sample 88, client 1, delivery time: 133
Sample 89, client 1, delivery time: 124
Sample 90, client 1, delivery time: 112
Sample 91, client 1, delivery time: 139
Sample 92, client 1, delivery time: 136
Sample 93, client 1, delivery time: 105
Sample 94, client 1, delivery time: 97
Sample 95, client 1, delivery time: 195
Sample 96, client 1, delivery time: 147
Sample 97, client 1, delivery time: 184
Sample 98, client 1, delivery time: 127
Sample 99, client 1, delivery time: 106
Client: 2, nsmp=100, del=125000
Sample 0, client 2, delivery time: 138
Sample 1, client 2, delivery time: 124
Sample 2, client 2, delivery time: 145
Sample 3, client 2, delivery time: 187
Sample 4, client 2, delivery time: 119
Sample 5, client 2, delivery time: 93
Sample 6, client 2, delivery time: 159
Sample 7, client 2, delivery time: 163
Sample 8, client 2, delivery time: 100
Sample 9, client 2, delivery time: 129
Sample 10, client 2, delivery time: 149
Sample 11, client 2, delivery time: 148
Sample 12, client 2, delivery time: 142
Sample 13, client 2, delivery time: 200
Sample 14, client 2, delivery time: 101
Sample 15, client 2, delivery time: 134
Sample 16, client 2, delivery time: 139
Sample 17, client 2, delivery time: 122
Sample 18, client 2, delivery time: 168
Sample 19, client 2, delivery time: 157
Sample 20, client 2, delivery time: 135
Sample 21, client 2, delivery time: 121
Sample 22, client 2, delivery time: 117
Sample 23, client 2, delivery time: 125
Sample 24, client 2, delivery time: 130
Sample 25, client 2, delivery time: 167
Sample 26, client 2, delivery time: 342
Sample 27, client 2, delivery time: 176
Sample 28, client 2, delivery time: 122
Sample 29, client 2, delivery time: 94
Sample 30, client 2, delivery time: 135
