Client: 2, nsmp=100, del=125000
Client: 1, nsmp=100, del=125000
Client: 0, nsmp=100, del=125000
Sample 0, client 1, delivery time: 533
Sample 1, client 1, delivery time: 152
Sample 2, client 1, delivery time: 204
Sample 3, client 1, delivery time: 242
Sample 4, client 1, delivery time: 202
Sample 5, client 1, delivery time: 2189
Sample 6, client 1, delivery time: 2190
Sample 7, client 1, delivery time: 2216
Sample 8, client 1, delivery time: 248
Sample 9, client 1, delivery time: 139
Sample 10, client 1, delivery time: 198
Sample 11, client 1, delivery time: 197
Sample 12, client 1, delivery time: 2145
Sample 13, client 1, delivery time: 56
Sample 14, client 1, delivery time: 2180
Sample 15, client 1, delivery time: 239
Sample 16, client 1, delivery time: 139
Sample 17, client 1, delivery time: 238
Sample 18, client 1, delivery time: 138
Sample 19, client 1, delivery time: 196
Sample 20, client 1, delivery time: 2544
Sample 21, client 1, delivery time: 138
Sample 22, client 1, delivery time: 197
Sample 23, client 1, delivery time: 194
Sample 24, client 1, delivery time: 196
Sample 25, client 1, delivery time: Sample 0, client 0, delivery time: 378
Sample 1, client 0, delivery time: 219
Sample 2, client 0, delivery time: 17909
Sample 3, client 0, delivery time: 5818
Sample 4, client 0, delivery time: 139
Sample 5, client 0, delivery time: 1022
Sample 6, client 0, delivery time: 1022
Sample 7, client 0, delivery time: 2330
Sample 8, client 0, delivery time: 146
Sample 9, client 0, delivery time: 201
Sample 10, client 0, delivery time: 16771
Sample 11, client 0, delivery time: 10116
Sample 12, client 0, delivery time: 142
Sample 13, client 0, delivery time: 168
Sample 14, client 0, delivery time: 2295
Sample 15, client 0, delivery time: 140
Sample 16, client 0, delivery time: 239
Sample 17, client 0, delivery time: 139
Sample 18, client 0, delivery time: 200
Sample 19, client 0, delivery time: 12636
Sample 20, client 0, delivery time: 2453
Sample 21, client 0, delivery time: 291
Sample 22, client 0, delivery time: 138
Sample 23, client 0, delivery time: 136
Sample 24, client 0, delivery time: 138
Sample 25, client 0, delivery time: Sample 0, client 2, delivery time: 465
Sample 1, client 2, delivery time: 263
Sample 2, client 2, delivery time: 143
Sample 3, client 2, delivery time: 200
Sample 4, client 2, delivery time: 244
Sample 5, client 2, delivery time: 135
Sample 6, client 2, delivery time: 148
Sample 7, client 2, delivery time: 146
Sample 8, client 2, delivery time: 206
Sample 9, client 2, delivery time: 243
Sample 10, client 2, delivery time: 139
Sample 11, client 2, delivery time: 239
Sample 12, client 2, delivery time: 201
Sample 13, client 2, delivery time: 214
Sample 14, client 2, delivery time: 136
Sample 15, client 2, delivery time: 198
Sample 16, client 2, delivery time: 198
Sample 17, client 2, delivery time: 197
Sample 18, client 2, delivery time: 241
Sample 19, client 2, delivery time: 138
Sample 20, client 2, delivery time: 89
Sample 21, client 2, delivery time: 245
Sample 22, client 2, delivery time: 3076
Sample 23, client 2, delivery time: 235
Sample 24, client 2, delivery time: 2105
Sample 25, client 2, delivery time: 58
Sample 26, client 1, delivery time: 200
Sample 27, client 1, delivery time: 12705
Sample 28, client 1, delivery time: 2309
Sample 29, client 1, delivery time: 4287
Sample 30, client 1, delivery time: 56
Sample 31, client 1, delivery time: 239
Sample 32, client 1, delivery time: 138
Sample 33, client 1, delivery time: 195
Sample 34, client 1, delivery time: 197
Sample 35, client 1, delivery time: 206
Sample 36, client 1, delivery time: 2202
Sample 37, client 1, delivery time: 151
Sample 38, client 1, delivery time: 194
Sample 39, client 1, delivery time: 201
Sample 40, client 1, delivery time: 3987
Sample 41, client 1, delivery time: 232
Sample 42, client 1, delivery time: 138
Sample 43, client 1, delivery time: 235
Sample 44, client 1, delivery time: 137
Sample 45, client 1, delivery time: 3169
Sample 46, client 1, delivery time: 140
Sample 47, client 1, delivery time: 237
Sample 48, client 1, delivery time: 247
Sample 49, client 1, delivery time: 174
Sample 50, client 1, delivery time: 200
Sample 51, client 212
Sample 26, client 0, delivery time: 142
Sample 27, client 0, delivery time: 197
Sample 28, client 0, delivery time: 134
Sample 29, client 0, delivery time: 3166
Sample 30, client 0, delivery time: 167
Sample 31, client 0, delivery time: 198
Sample 32, client 0, delivery time: 196
Sample 33, client 0, delivery time: 16834
Sample 34, client 0, delivery time: 6923
Sample 35, client 0, delivery time: 140
Sample 36, client 0, delivery time: 133
Sample 37, client 0, delivery time: 3255
Sample 38, client 0, delivery time: 136
Sample 39, client 0, delivery time: 1022
Sample 40, client 0, delivery time: 137
Sample 41, client 0, delivery time: 133
Sample 42, client 0, delivery time: 237
Sample 43, client 0, delivery time: 137
Sample 44, client 0, delivery time: 235
Sample 45, client 0, delivery time: 479
Sample 46, client 0, delivery time: 198
Sample 47, client 0, delivery time: 195
Sample 48, client 0, delivery time: 141
Sample 49, client 0, delivery time: 285
Sample 50, client 0, delivery time: 137
Sample 51, client 275
Sample 26, client 2, delivery time: 241
Sample 27, client 2, delivery time: 140
Sample 28, client 2, delivery time: 88
Sample 29, client 2, delivery time: 3305
Sample 30, client 2, delivery time: 213
Sample 31, client 2, delivery time: 140
Sample 32, client 2, delivery time: 237
Sample 33, client 2, delivery time: 137
Sample 34, client 2, delivery time: 238
Sample 35, client 2, delivery time: 247
Sample 36, client 2, delivery time: 995
Sample 37, client 2, delivery time: 208
Sample 38, client 2, delivery time: 1012
Sample 39, client 2, delivery time: 143
Sample 40, client 2, delivery time: 1014
Sample 41, client 2, delivery time: 191
Sample 42, client 2, delivery time: 196
Sample 43, client 2, delivery time: 194
Sample 44, client 2, delivery time: 194
Sample 45, client 2, delivery time: 2253
Sample 46, client 2, delivery time: 240
Sample 47, client 2, delivery time: 138
Sample 48, client 2, delivery time: 206
Sample 49, client 2, delivery time: 239
Sample 50, client 2, delivery time: 1043
Sample 51, client 0, delivery time: 1085
Sample 52, client 0, delivery time: 2323
Sample 53, client 0, delivery time: 138
Sample 54, client 0, delivery time: 239
Sample 55, client 0, delivery time: 198
Sample 56, client 0, delivery time: 194
Sample 57, client 0, delivery time: 195
Sample 58, client 0, delivery time: 16990
Sample 59, client 0, delivery time: 6142
Sample 60, client 0, delivery time: 3062
Sample 61, client 0, delivery time: 133
Sample 62, client 0, delivery time: 206
Sample 63, client 0, delivery time: 194
Sample 64, client 0, delivery time: 994
Sample 65, client 0, delivery time: 128
Sample 66, client 0, delivery time: 195
Sample 67, client 0, delivery time: 2134
Sample 68, client 0, delivery time: 207
Sample 69, client 0, delivery time: 194
Sample 70, client 0, delivery time: 16836
Sample 71, client 0, delivery time: 6735
Sample 72, client 0, delivery time: 3114
Sample 73, client 0, delivery time: 216
Sample 74, client 0, delivery time: 235
Sample 75, client 0, delivery time: 131
Sample 76, client 0, delivery time: 2, delivery time: 3043
Sample 52, client 2, delivery time: 2208
Sample 53, client 2, delivery time: 1014
Sample 54, client 2, delivery time: 141
